architecture id: 700
model parameters: 17917668
epoch, train_acc, train_loss, val_acc, val_loss
0.000, 18.448, 2.198, 25.064, 2.099
1.000, 34.432, 1.766, 39.660, 1.632
2.000, 46.368, 1.442, 47.156, 1.475
3.000, 53.564, 1.267, 55.864, 1.206
4.000, 58.320, 1.138, 53.956, 1.296
5.000, 62.568, 1.052, 59.888, 1.124
6.000, 65.136, 0.975, 62.964, 1.041
7.000, 66.916, 0.924, 66.908, 0.938
8.000, 69.432, 0.854, 66.772, 0.949
9.000, 71.496, 0.802, 69.456, 0.882
10.000, 73.032, 0.769, 69.148, 0.894
11.000, 74.236, 0.720, 69.028, 0.893
12.000, 75.840, 0.684, 71.532, 0.829
13.000, 77.068, 0.652, 73.840, 0.760
14.000, 78.248, 0.619, 71.420, 0.846
15.000, 79.024, 0.598, 72.908, 0.771
16.000, 79.608, 0.581, 72.996, 0.793
17.000, 80.564, 0.551, 75.072, 0.719
18.000, 82.024, 0.516, 76.296, 0.692
19.000, 82.564, 0.496, 77.736, 0.656
20.000, 82.444, 0.494, 77.708, 0.644
21.000, 84.008, 0.461, 76.992, 0.691
22.000, 84.880, 0.434, 76.904, 0.681
23.000, 84.888, 0.433, 77.024, 0.694
24.000, 85.976, 0.407, 78.380, 0.635
25.000, 86.524, 0.390, 79.832, 0.597
26.000, 86.424, 0.387, 77.896, 0.659
27.000, 87.172, 0.367, 77.816, 0.664
28.000, 87.808, 0.352, 80.320, 0.580
29.000, 88.164, 0.340, 77.172, 0.678
30.000, 89.072, 0.318, 79.136, 0.636
31.000, 89.116, 0.310, 79.632, 0.616
32.000, 89.496, 0.302, 78.852, 0.622
33.000, 90.240, 0.285, 80.964, 0.578
34.000, 90.400, 0.278, 81.104, 0.583
35.000, 91.008, 0.268, 79.184, 0.668
36.000, 91.240, 0.254, 81.072, 0.597
37.000, 91.612, 0.244, 77.544, 0.740
38.000, 91.820, 0.233, 80.932, 0.605
39.000, 91.880, 0.235, 81.216, 0.585
40.000, 92.112, 0.225, 80.924, 0.595
41.000, 92.764, 0.211, 82.068, 0.565
42.000, 93.344, 0.198, 81.972, 0.564
43.000, 93.676, 0.190, 81.696, 0.599
44.000, 93.888, 0.183, 82.188, 0.559
45.000, 93.892, 0.181, 81.832, 0.587
46.000, 94.388, 0.169, 82.752, 0.544
47.000, 94.548, 0.166, 80.960, 0.637
48.000, 94.784, 0.159, 82.628, 0.554
49.000, 95.172, 0.152, 83.456, 0.533
50.000, 95.268, 0.146, 82.940, 0.566
51.000, 95.440, 0.141, 83.112, 0.556
52.000, 95.656, 0.134, 82.548, 0.580
53.000, 95.696, 0.133, 83.220, 0.546
54.000, 96.036, 0.125, 82.736, 0.570
55.000, 96.212, 0.119, 83.316, 0.559
56.000, 96.276, 0.116, 83.668, 0.543
57.000, 96.700, 0.107, 83.340, 0.551
58.000, 96.728, 0.106, 83.368, 0.557
59.000, 96.828, 0.103, 83.816, 0.549
60.000, 97.064, 0.097, 83.492, 0.563
61.000, 97.248, 0.092, 82.984, 0.585
62.000, 97.352, 0.089, 83.372, 0.581
63.000, 97.452, 0.087, 83.852, 0.559
64.000, 97.304, 0.085, 84.144, 0.543
65.000, 97.684, 0.080, 83.900, 0.561
66.000, 97.820, 0.078, 84.016, 0.541
67.000, 97.972, 0.073, 83.696, 0.561
68.000, 98.152, 0.070, 83.952, 0.561
69.000, 97.960, 0.069, 84.332, 0.554
70.000, 98.180, 0.067, 84.388, 0.567
71.000, 98.216, 0.065, 83.956, 0.564
72.000, 98.384, 0.061, 84.264, 0.557
73.000, 98.376, 0.061, 84.232, 0.560
74.000, 98.492, 0.059, 84.408, 0.554
75.000, 98.500, 0.057, 84.184, 0.556
76.000, 98.564, 0.057, 84.140, 0.563
77.000, 98.528, 0.054, 84.528, 0.556
78.000, 98.568, 0.054, 84.536, 0.549
79.000, 98.680, 0.052, 84.424, 0.561
80.000, 98.700, 0.052, 84.440, 0.558
81.000, 98.772, 0.051, 84.476, 0.554
82.000, 98.656, 0.051, 84.692, 0.558
83.000, 98.608, 0.050, 84.740, 0.548
84.000, 98.792, 0.050, 84.324, 0.562
85.000, 98.936, 0.047, 84.592, 0.554
86.000, 98.836, 0.048, 84.664, 0.557
87.000, 98.924, 0.046, 84.776, 0.551
88.000, 98.840, 0.048, 84.804, 0.551
89.000, 98.888, 0.046, 84.632, 0.554
90.000, 98.912, 0.046, 84.636, 0.558
91.000, 98.948, 0.045, 84.568, 0.553
92.000, 99.036, 0.044, 84.720, 0.555
93.000, 98.976, 0.044, 84.848, 0.556
94.000, 98.948, 0.045, 84.844, 0.553
95.000, 99.032, 0.044, 84.920, 0.549
96.000, 99.000, 0.043, 84.724, 0.555
97.000, 98.956, 0.043, 84.600, 0.558
98.000, 98.980, 0.045, 84.912, 0.552
99.000, 99.000, 0.043, 84.780, 0.553
test accuracy: 85.220
firing rate of layers: -1.000, -1.000, -1.000, 0.099, -1.000, -1.000, -1.000, -1.000, -1.000, 0.065, -1.000, -1.000, 0.061, 0.107, 0.218, 0.082
Elapsed time: 1.0hour2.0minute50.9second
