architecture id: 15441
model parameters: 75196008
epoch, train_acc,train_top5, train_loss, val_acc, val_top5, val_loss
0.000, 8.852, 24.549, 4.413, 14.540, 37.540, 3.889
1.000, 21.064, 46.186, 3.514, 22.210, 48.060, 3.424
2.000, 28.295, 55.375, 3.100, 29.670, 56.580, 3.039
3.000, 33.934, 61.660, 2.802, 32.960, 60.040, 2.868
4.000, 38.385, 66.364, 2.562, 35.700, 62.650, 2.741
5.000, 42.663, 70.566, 2.352, 38.590, 65.340, 2.593
6.000, 46.474, 73.848, 2.174, 39.340, 66.480, 2.569
7.000, 49.919, 76.839, 2.001, 41.500, 68.060, 2.485
8.000, 53.522, 79.717, 1.840, 41.430, 68.320, 2.471
9.000, 56.690, 82.015, 1.698, 42.690, 69.530, 2.416
10.000, 59.958, 84.419, 1.559, 44.210, 70.070, 2.405
11.000, 62.791, 86.432, 1.433, 43.350, 70.140, 2.435
12.000, 65.971, 88.233, 1.306, 44.050, 70.700, 2.432
13.000, 68.345, 89.890, 1.203, 44.310, 70.800, 2.428
14.000, 71.476, 91.548, 1.083, 44.940, 71.030, 2.411
15.000, 73.766, 92.977, 0.987, 44.680, 70.430, 2.455
16.000, 76.367, 93.912, 0.894, 45.460, 71.230, 2.426
17.000, 78.547, 94.901, 0.813, 45.540, 71.680, 2.429
18.000, 80.536, 95.798, 0.732, 45.840, 71.320, 2.457
19.000, 82.629, 96.490, 0.661, 45.480, 71.410, 2.485
20.000, 84.412, 97.149, 0.597, 45.910, 71.450, 2.515
21.000, 85.912, 97.563, 0.542, 46.300, 71.480, 2.521
22.000, 87.363, 98.046, 0.490, 46.420, 71.450, 2.533
23.000, 88.526, 98.335, 0.450, 46.610, 71.620, 2.554
24.000, 89.815, 98.590, 0.407, 46.350, 71.090, 2.576
25.000, 90.719, 98.878, 0.370, 45.990, 71.880, 2.587
26.000, 91.571, 99.031, 0.340, 46.150, 72.620, 2.589
27.000, 92.361, 99.138, 0.314, 47.340, 72.520, 2.582
28.000, 92.962, 99.259, 0.289, 47.230, 71.870, 2.583
29.000, 93.745, 99.379, 0.264, 47.390, 72.250, 2.610
30.000, 94.187, 99.457, 0.247, 47.150, 72.380, 2.588
31.000, 94.708, 99.519, 0.228, 46.940, 72.230, 2.638
32.000, 95.168, 99.622, 0.212, 47.650, 73.060, 2.603
33.000, 95.438, 99.667, 0.200, 47.460, 72.560, 2.623
34.000, 95.880, 99.712, 0.184, 47.910, 72.740, 2.632
35.000, 96.150, 99.712, 0.174, 47.560, 72.220, 2.632
36.000, 96.463, 99.775, 0.163, 47.970, 72.340, 2.641
37.000, 96.681, 99.775, 0.155, 48.320, 72.410, 2.639
38.000, 96.994, 99.810, 0.143, 48.050, 72.880, 2.661
39.000, 97.202, 99.819, 0.134, 48.170, 73.070, 2.629
40.000, 97.309, 99.858, 0.129, 48.480, 72.660, 2.641
41.000, 97.504, 99.850, 0.121, 48.260, 72.740, 2.683
42.000, 97.637, 99.866, 0.115, 48.120, 72.840, 2.672
43.000, 97.913, 99.879, 0.108, 48.430, 73.330, 2.664
44.000, 98.038, 99.907, 0.102, 48.640, 72.780, 2.684
45.000, 98.171, 99.931, 0.096, 47.900, 72.830, 2.692
