architecture id: 15538
model parameters: 75196008
epoch, train_acc, train_top5, train_loss, val_acc, val_top5, val_loss
0.000, 8.302, 23.610, 4.451, 15.940, 39.870, 3.781
1.000, 21.550, 47.022, 3.474, 24.790, 50.830, 3.297
2.000, 29.554, 57.012, 3.031, 29.940, 56.960, 3.000
3.000, 35.356, 63.482, 2.719, 34.290, 62.410, 2.779
4.000, 40.319, 68.204, 2.472, 37.310, 64.900, 2.635
5.000, 44.498, 72.314, 2.261, 39.090, 66.670, 2.553
6.000, 48.477, 75.652, 2.073, 41.440, 68.580, 2.449
7.000, 52.117, 78.409, 1.910, 42.750, 69.070, 2.414
8.000, 55.395, 81.060, 1.753, 43.670, 70.520, 2.390
9.000, 58.593, 83.496, 1.609, 44.160, 70.790, 2.351
10.000, 61.618, 85.618, 1.480, 45.570, 71.970, 2.298
11.000, 64.338, 87.620, 1.358, 44.670, 70.820, 2.389
12.000, 67.732, 89.275, 1.234, 45.740, 72.290, 2.323
13.000, 70.199, 90.833, 1.125, 46.640, 72.370, 2.310
14.000, 72.811, 92.127, 1.026, 46.390, 72.340, 2.343
15.000, 75.191, 93.490, 0.929, 47.570, 73.370, 2.295
16.000, 77.590, 94.398, 0.842, 47.170, 72.660, 2.336
17.000, 79.796, 95.402, 0.761, 47.960, 73.430, 2.329
18.000, 81.757, 96.362, 0.683, 47.640, 73.010, 2.385
19.000, 83.419, 96.916, 0.623, 47.920, 73.170, 2.364
20.000, 85.073, 97.387, 0.565, 47.650, 73.480, 2.396
21.000, 86.719, 97.902, 0.507, 48.080, 73.640, 2.406
22.000, 88.035, 98.231, 0.460, 48.250, 73.250, 2.430
23.000, 89.143, 98.524, 0.423, 48.370, 73.380, 2.439
24.000, 90.047, 98.794, 0.386, 47.960, 73.140, 2.442
25.000, 91.334, 99.014, 0.343, 48.400, 73.500, 2.464
26.000, 91.973, 99.115, 0.318, 48.820, 73.620, 2.470
27.000, 92.945, 99.314, 0.288, 49.030, 73.630, 2.492
28.000, 93.539, 99.407, 0.266, 49.470, 74.280, 2.457
29.000, 93.994, 99.453, 0.248, 48.900, 73.700, 2.508
30.000, 94.749, 99.517, 0.225, 49.080, 73.770, 2.503
31.000, 95.085, 99.619, 0.209, 49.400, 73.720, 2.497
32.000, 95.505, 99.674, 0.194, 49.130, 73.640, 2.530
33.000, 95.709, 99.695, 0.186, 49.020, 73.690, 2.548
34.000, 96.127, 99.758, 0.172, 49.520, 74.200, 2.520
35.000, 96.461, 99.806, 0.159, 49.740, 74.760, 2.498
36.000, 96.691, 99.782, 0.150, 49.750, 74.450, 2.516
37.000, 96.849, 99.812, 0.142, 49.660, 74.150, 2.558
38.000, 97.209, 99.839, 0.132, 50.020, 75.350, 2.502
